Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,leverager,ratio_indicator_entry,rsi_threshold,swapper_long_entry,swapper_short_entry,top_traders_entry,use_divergence_entry,ratio_indicator_exit,swapper_long_exit,swapper_short_exit,top_traders_exit,use_divergence_exit,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached,max_open_trades
*,23,9996,0.29%,1.2001200120012,8.60553500,,"8,605.54",1:05:00,5561,4435,-75.42634,6.4,0.5,26,1,2,False,False,0.9,4,1,False,False,34,46,30,0.012,0.035,0.065,-0.277,True,0.141,0.009,False,8
*,29,4815,0.14%,0.36972642108335535,6.37274561,,"6,372.75",0:44:00,2176,2639,-32.55805,3.7,1.8,28,1,3,True,True,1.7,4,3,False,True,101,17,20,0.039,0.045,0.067,-0.299,True,0.13,0.077,False,2
,36,39978,0.04%,0.3071152353330571,0.81324207,,813.24,1:01:00,15343,24635,-7.20202,3.1,1.4,18,4,1,True,True,0.5,4,3,False,False,32,53,21,0.033,0.011,0.172,-0.191,True,0.039,0.075,True,9
,37,31332,0.11%,0.36339360523468933,0.89781314,,897.81,1:21:00,14879,16453,-4.80994,4.9,0.5,16,4,4,True,False,0.6,4,2,True,True,19,33,13,0.039,0.025,0.038,-0.344,True,0.258,0.016,True,6
,39,11042,0.05%,0.029220907264269583,0.57540268,,575.40,1:01:00,5999,5043,-3.33465,2.9,0.6,26,4,2,True,False,0.5,4,1,False,False,27,27,14,0.04,0.01,0.103,-0.054,True,0.162,0.07,True,7
,41,5410,0.04%,0.04713931955404266,0.28444543,,284.45,1:51:00,3006,2404,-1.08768,1.6,1.1,18,4,2,True,False,0.5,4,1,True,False,17,50,32,0.017,0.021,0.152,-0.299,True,0.195,0.01,True,1
,43,16079,0.07%,0.1704867040780173,2.71640105,,"2,716.40",1:13:00,3094,12985,-39.41334,1.9,1.6,29,4,1,True,False,0.5,4,2,False,False,93,15,11,0.034,0.013,0.048,-0.326,True,0.304,0.069,True,8
,44,17961,0.10%,0.4706251215838883,2.44196157,,"2,441.96",1:02:00,8778,9183,-15.06801,3.9,2.0,23,4,3,True,False,0.5,4,3,False,False,49,42,31,0.04,0.011,0.124,-0.088,True,0.083,0.067,True,9
,45,31334,0.15%,1.100110011127398,11.26847702,,"11,268.48",0:56:00,15374,15960,-93.48647,6.7,0.8,20,4,4,True,False,0.5,4,1,False,False,101,35,33,0.011,0.051,0.033,-0.108,True,0.293,0.073,True,9
,46,11707,0.22%,1.3998600137074995,7.16587831,,"7,165.88",0:44:00,6439,5268,-79.91231,6.7,1.3,26,4,2,True,False,0.5,4,3,False,False,18,42,20,0.014,0.041,0.153,-0.105,True,0.171,0.099,True,8
,47,8741,0.09%,0.23043809608676435,3.45701847,,"3,457.02",1:23:00,3974,4767,-42.50362,1.9,1.2,26,4,4,True,False,0.5,4,3,False,False,111,37,38,0.034,0.03,0.048,-0.237,True,0.273,0.075,True,4
,48,25516,0.10%,0.5319935417818585,13.95867921,,"13,958.68",0:36:00,14096,11420,-99.83234,5.5,0.9,21,4,2,True,False,0.5,4,2,False,False,53,19,35,0.012,0.031,0.161,-0.048,True,0.166,0.036,True,5
Best,49,34578,0.19%,0.6783156908932371,"4,110.26983457",,"4,110,269.83",0:29:00,14699,19879,"-63,065.18302",9.5,1.0,19,4,4,False,True,0.7,4,3,False,True,65,56,24,0.01,0.032,0.084,-0.176,True,0.01,0.002,True,3
,51,19382,0.31%,1.2622040030632453,"1,090.50016006",,"1,090,500.16",0:37:00,10440,8942,"-16,592.36670",8.2,0.9,22,3,4,True,False,0.9,4,1,False,True,118,20,12,0.011,0.055,0.097,-0.281,True,0.018,0.011,True,3
,52,22951,0.35%,2.193213483613734,882.47450301,,"882,474.50",0:49:00,12118,10833,"-12,829.00450",9.2,0.8,18,1,4,True,False,1.4,1,4,False,True,32,45,22,0.01,0.055,0.149,-0.286,True,0.024,0.028,True,3
,63,9524,0.31%,1.417571174615956,677.16089457,,"677,160.89",0:42:00,5328,4196,"-3,860.61056",8.3,1.9,22,3,4,True,False,0.5,1,4,False,False,103,26,28,0.012,0.038,0.078,-0.208,True,0.016,0.011,True,1
,64,8528,0.25%,0.9999000099978496,"1,668.64082528",,"1,668,640.83",0:59:00,4500,4028,"-19,862.19675",8.4,0.9,20,4,4,True,False,1.5,2,4,True,True,43,46,31,0.01,0.016,0.091,-0.24,True,0.013,0.004,True,1
Best,65,40299,0.27%,1.7388321528185324,"7,444.53020123",,"7,444,530.20",0:57:00,12014,28285,"-254,521.64419",9.7,1.3,17,4,4,False,False,0.7,3,1,True,False,12,60,36,0.017,0.069,0.2,-0.108,True,0.011,0.018,True,4
,66,59067,0.11%,1.9090951549064235,0.72582996,,725.83,0:51:00,26871,32196,-2.84995,8.4,1.9,15,4,4,True,False,0.7,3,1,False,True,36,60,34,0.013,0.048,0.177,-0.101,True,0.029,0.041,True,10
,74,26124,0.03%,0.0801359458101643,2.50432838,,"2,504.33",1:12:00,6666,19458,-15.95892,1.4,1.1,24,4,4,False,True,1.7,4,1,False,True,18,57,10,0.034,0.045,0.026,-0.254,True,0.236,0.092,True,4
,81,12106,0.88%,3.382612656620664,"1,035.48000858",,"1,035,480.01",0:35:00,4308,7798,"-37,345.41636",9.8,1.7,28,1,4,True,True,2.0,2,4,True,False,72,18,37,0.014,0.045,0.195,-0.148,True,0.011,0.031,True,10
,87,27915,0.17%,-3.429518676039373,33.82343744,,"33,823.44",0:26:00,9740,18175,-274.15696,9.3,0.7,27,3,1,True,False,0.7,2,2,True,True,79,30,40,0.017,0.053,0.191,-0.033,True,0.298,0.062,True,9
,89,84375,0.14%,0.31479942681992534,750.45893217,,"750,458.93",0:34:00,32807,51568,"-8,255.75873",9.3,1.2,27,2,1,False,True,1.4,1,1,True,True,78,54,40,0.011,0.043,0.198,-0.055,True,0.023,0.074,True,10
