Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,swapper_long_entry,swapper_short_entry,swapper_long_exit,swapper_short_exit
,180,2929,0.01%,0.009999976905185453,-0.15935473,,-159.35,2:25:00,2556,373,146.01180,pro-negative,anti-positive,anti-positive,anti-negative
,181,1349,0.04%,0.05592057853092302,0.52900156,,529.00,2:19:00,912,437,-479.17888,pro-positive,anti-positive,pro-negative,anti-negative
,182,3238,0.04%,0.10129376226622593,1.40264450,,"1,402.64",2:00:00,885,2353,"-1,253.14435",pro-positive,anti-negative,pro-positive,anti-negative
,183,2535,0.02%,0.0918034421459286,0.50063307,,500.63,1:33:00,952,1583,-414.52152,pro-positive,pro-positive,pro-positive,anti-positive
,184,2770,0.01%,0.11585754878238369,0.03397382,,33.97,1:15:00,1006,1764,-26.92774,pro-positive,anti-negative,anti-negative,anti-positive
,185,2994,0.02%,0.02052996547869561,0.02995272,,29.95,2:18:00,2608,386,-27.72971,pro-negative,anti-positive,anti-positive,pro-negative
,186,3088,0.04%,0.07339332517342984,1.40093065,,"1,400.93",2:25:00,787,2301,"-1,278.69196",pro-positive,anti-negative,pro-negative,pro-positive
,187,3958,0.03%,0.06976045504658193,1.22385448,,"1,223.85",1:51:00,2604,1354,"-1,156.52108",pro-negative,pro-positive,pro-negative,anti-positive
,188,3258,0.06%,0.1231645580149213,3.99431151,,"3,994.31",1:36:00,2815,443,"-3,917.94393",pro-negative,anti-positive,anti-negative,pro-negative
,189,2531,0.03%,0.0975752328551622,0.86860217,,868.60,1:26:00,2075,456,-791.22601,anti-positive,anti-positive,pro-positive,pro-positive
,190,3395,0.05%,0.10943219844383441,2.75211532,,"2,752.12",1:48:00,885,2510,"-2,578.31168",pro-positive,anti-negative,pro-negative,pro-negative
,191,5149,0.00%,0.00957317568867522,-0.37350059,,-373.50,2:19:00,3841,1308,328.14217,anti-positive,anti-negative,anti-negative,pro-positive
,192,2495,0.02%,0.08956507523960178,0.34129263,,341.29,1:40:00,928,1567,-278.07984,pro-positive,pro-positive,anti-positive,anti-positive
,193,3893,0.08%,0.039141053844494234,10.81923518,,"10,819.24",2:26:00,2208,1685,"-10,448.55598",pro-negative,pro-negative,pro-negative,pro-positive
,194,4358,0.07%,0.0974625577569642,12.73415788,,"12,734.16",2:00:00,2469,1889,"-12,368.98471",pro-negative,pro-negative,pro-negative,anti-negative
,195,3683,0.05%,0.06127233472055662,2.74203999,,"2,742.04",2:39:00,1740,1943,"-2,602.67130",anti-negative,anti-negative,anti-positive,pro-positive
,196,2011,0.03%,0.11866150373282605,0.66815524,,668.16,1:12:00,1033,978,-614.68812,pro-positive,pro-negative,anti-negative,anti-positive
,197,5342,0.03%,0.010062481884266866,2.36597460,,"2,365.97",2:13:00,1464,3878,"-2,238.59265",pro-negative,pro-positive,anti-negative,pro-negative
,198,2672,0.01%,0.09094877040018082,0.12971130,,129.71,1:23:00,946,1726,-95.95440,pro-positive,anti-negative,pro-positive,anti-positive
,199,2966,0.06%,0.1298126915152012,2.88105079,,"2,881.05",2:02:00,883,2083,"-2,717.79467",pro-positive,pro-negative,pro-negative,pro-negative
,200,2542,0.02%,0.08109742715750752,0.26820503,,268.21,1:31:00,2115,427,-238.11505,pro-negative,anti-positive,pro-positive,anti-negative
,201,3835,-0.06%,0.0,-0.94256724,,-942.57,3:04:00,3242,593,771.87696,anti-positive,anti-negative,anti-positive,anti-positive
,202,3476,0.05%,0.010057937138402046,2.95686221,,"2,956.86",3:32:00,739,2737,"-2,790.73595",anti-negative,pro-positive,anti-positive,pro-positive
,203,5274,-0.02%,0.0,-0.76863727,,-768.64,2:04:00,4688,586,651.10176,anti-positive,pro-negative,anti-negative,anti-positive
,204,5172,0.04%,0.010051187338363523,3.14444804,,"3,144.45",2:17:00,1287,3885,"-2,976.23168",anti-negative,pro-positive,anti-negative,pro-negative
,205,4015,0.09%,0.10635678952510634,24.68808765,,"24,688.09",2:14:00,2260,1755,"-23,921.04055",pro-negative,pro-negative,anti-negative,pro-positive
,206,2965,0.01%,0.018936870392546375,-0.10006802,,-100.07,2:22:00,2581,384,91.87006,pro-negative,anti-positive,anti-positive,pro-positive
,207,3231,0.06%,0.12227396281591177,3.28056504,,"3,280.57",1:41:00,2797,434,"-3,155.78810",pro-negative,anti-positive,anti-negative,pro-positive
,208,1374,0.05%,0.08869559246957966,0.63915587,,639.16,2:10:00,924,450,-575.99723,pro-positive,anti-positive,pro-negative,anti-positive
,209,3078,0.06%,0.1467262368258752,3.94805518,,"3,948.06",1:51:00,942,2136,"-3,894.52526",pro-positive,pro-negative,pro-positive,pro-negative
,210,3379,0.02%,0.03790087340749841,0.22148565,,221.49,2:07:00,2593,786,-206.72071,pro-negative,pro-negative,anti-positive,anti-positive
,211,2535,0.03%,0.09796670399328485,0.90557347,,905.57,1:24:00,2077,458,-832.95037,anti-positive,anti-positive,pro-positive,anti-positive
,212,3445,-0.00%,0.01004624583037004,-0.39252602,,-392.53,3:24:00,391,3054,344.26208,pro-positive,pro-positive,anti-negative,pro-positive
,213,5480,-0.02%,0.0,-0.77356118,,-773.56,2:02:00,4537,943,653.38085,anti-positive,anti-negative,anti-negative,anti-positive
,214,3914,-0.04%,0.0015978156579210048,-0.88413946,,-884.14,3:07:00,3061,853,709.00746,anti-positive,anti-negative,anti-positive,pro-negative
,215,3567,0.02%,0.09465796539612092,0.85844352,,858.44,1:22:00,2021,1546,-780.13917,anti-positive,pro-positive,pro-positive,anti-positive
,216,5014,0.00%,0.01002134954716696,-0.29158399,,-291.58,2:12:00,619,4395,249.71039,pro-positive,pro-positive,anti-negative,pro-negative
,217,3506,-0.06%,0.0,-0.91627607,,-916.28,3:17:00,3321,185,762.50979,anti-positive,anti-positive,anti-positive,anti-positive
,218,2663,0.06%,0.034224078412178435,2.04986747,,"2,049.87",2:42:00,803,1860,"-1,922.84433",pro-positive,pro-negative,anti-positive,pro-positive
,219,3618,0.04%,0.010043085946393717,1.41127330,,"1,411.27",3:25:00,891,2727,"-1,329.73663",pro-negative,pro-positive,anti-positive,pro-positive
,220,5372,-0.00%,0.0025734878448398935,-0.52533832,,-525.34,2:11:00,4221,1151,444.52004,anti-positive,pro-negative,pro-negative,anti-negative
,221,4912,-0.02%,0.0,-0.84143782,,-841.44,2:12:00,4649,263,669.02250,anti-positive,anti-positive,pro-negative,anti-negative
,222,3715,-0.05%,0.0,-0.91258616,,-912.59,3:08:00,3315,400,750.00298,anti-positive,pro-negative,anti-positive,anti-positive
,223,3495,-0.05%,0.0,-0.90647617,,-906.48,3:18:00,3311,184,758.58446,anti-positive,anti-positive,anti-positive,anti-negative
,224,3652,0.05%,0.010056256467523316,3.07210413,,"3,072.10",3:21:00,791,2861,"-2,934.18675",anti-negative,pro-positive,anti-negative,pro-positive
,225,5118,-0.03%,0.00242302156664858,-0.84491404,,-844.91,2:28:00,2485,2633,382.19694,anti-positive,pro-positive,pro-negative,anti-negative
,226,5262,0.01%,0.010012359480516538,-0.17944151,,-179.44,2:11:00,1117,4145,149.98817,pro-negative,pro-positive,pro-positive,pro-negative
,227,5278,0.01%,0.01001223090121892,0.27581357,,275.81,2:10:00,1074,4204,-223.98813,anti-positive,pro-positive,pro-positive,anti-negative
,228,1869,0.04%,0.07683176321310381,0.90339115,,903.39,1:41:00,925,944,-826.23588,pro-positive,pro-negative,pro-negative,anti-positive
,229,3241,0.06%,0.12227396281591177,3.47970681,,"3,479.71",1:39:00,2805,436,"-3,351.58739",pro-negative,anti-positive,anti-negative,anti-positive
,230,4874,0.01%,0.010001000100010001,0.06475243,,64.75,2:17:00,576,4298,-54.97746,pro-positive,pro-positive,anti-positive,anti-negative
,231,3474,0.05%,0.11371940686250231,3.20360266,,"3,203.60",1:44:00,916,2558,"-3,060.76014",pro-positive,anti-negative,anti-positive,pro-negative
,232,3068,0.05%,0.06087207277746978,2.18881630,,"2,188.82",2:01:00,2667,401,"-2,090.89439",pro-negative,anti-positive,pro-negative,anti-positive
,233,3084,0.05%,0.0607088922042886,2.24325981,,"2,243.26",1:58:00,2672,412,"-2,145.30080",pro-negative,anti-positive,pro-negative,pro-negative
,234,3644,0.03%,0.010075096012093455,0.96983593,,969.84,3:18:00,683,2961,-892.91283,anti-positive,pro-positive,pro-positive,pro-positive
,235,2637,0.01%,0.10579673600444213,0.20098957,,200.99,1:23:00,1011,1626,-165.16493,pro-positive,pro-positive,anti-negative,anti-positive
,241,4031,0.05%,0.13120656218465834,5.05366219,,"5,053.66",1:38:00,1929,2102,"-4,988.75644",anti-positive,pro-negative,pro-positive,pro-negative
,242,4876,0.01%,0.010003669851623868,0.23856488,,238.56,2:17:00,579,4297,-202.55134,pro-positive,pro-positive,anti-positive,pro-negative
,243,3792,-0.05%,0.0006186478363513965,-0.89258158,,-892.58,3:08:00,3203,589,758.68366,anti-positive,pro-positive,anti-positive,anti-positive
,244,3793,-0.04%,0.005093507023934974,-0.83895958,,-838.96,3:22:00,2232,1561,586.99083,anti-positive,pro-positive,anti-positive,pro-negative
,245,3572,0.05%,0.05701303734529419,2.81022584,,"2,810.23",2:12:00,1744,1828,"-2,625.51332",pro-negative,pro-negative,pro-positive,pro-positive
,246,4181,0.08%,0.06685442762724748,13.52612282,,"13,526.12",2:18:00,2207,1974,"-12,971.70660",pro-negative,anti-negative,pro-negative,pro-positive
,247,2820,0.08%,0.1470276715547894,5.12066864,,"5,120.67",1:49:00,2382,438,"-5,028.69932",anti-negative,anti-positive,anti-negative,anti-positive
,248,2551,0.03%,0.09915189625105288,0.85721445,,857.21,1:21:00,2085,466,-772.21193,anti-positive,anti-positive,pro-positive,pro-negative
,249,5011,0.00%,0.010018294480693128,-0.35677716,,-356.78,2:12:00,617,4394,303.92713,pro-positive,pro-positive,anti-negative,anti-negative
