Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,swapper_long_entry,swapper_short_entry,top_traders_entry,use_divergence_entry,swapper_long_exit,swapper_short_exit,top_traders_exit,use_divergence_exit,max_open_trades
,39,14446,0.05%,0.10372431110342703,2.69280883,,"2,692.81",1:21:00,7493,6953,-15.73309,1,3,True,True,4,1,False,False,5
Best,40,25577,0.04%,0.0912763481581725,1.73450734,,"1,734.51",1:15:00,15501,10076,-25.28748,2,4,True,True,4,1,False,False,10
,41,17302,0.05%,0.10516336580034466,1.95338014,,"1,953.38",1:24:00,8083,9219,-17.53031,1,4,True,True,4,1,False,False,7
,42,19999,0.04%,0.09041613784507799,2.92494339,,"2,924.94",1:13:00,13063,6936,-17.25814,2,3,True,True,4,1,False,False,5
,43,18243,0.05%,0.10637899711371887,1.71012308,,"1,710.12",1:25:00,8309,9934,-20.47671,1,4,True,True,4,1,False,False,9
,44,22595,0.04%,0.0920087237880329,2.66808705,,"2,668.09",1:14:00,13947,8648,-19.40395,2,4,True,True,4,1,False,False,6
,45,16507,0.05%,0.10765594747094365,2.46196225,,"2,461.96",1:23:00,7845,8662,-17.45932,1,4,True,True,4,1,False,False,6
,46,16158,0.05%,0.10012015122355007,1.68746812,,"1,687.47",1:23:00,8085,8073,-16.06418,1,3,True,True,4,1,False,False,7
,47,18411,0.05%,0.10643696727018816,1.47804788,,"1,478.05",1:25:00,8334,10077,-21.05451,1,4,True,True,4,1,False,False,10
,48,16981,0.05%,0.10222694112006893,1.56444514,,"1,564.45",1:24:00,8310,8671,-19.50494,1,3,True,True,4,1,False,False,9
,49,25582,0.04%,0.09134172078134785,1.71269269,,"1,712.69",1:15:00,15501,10081,-25.08108,2,4,True,True,4,1,False,True,10
,50,29875,0.02%,0.0754558962116359,0.65529971,,655.30,0:51:00,17167,12708,-14.34016,2,4,True,False,4,2,False,False,10
,51,29706,0.02%,0.08728274776184822,0.91460632,,914.61,0:45:00,15529,14177,-19.80857,2,4,True,True,4,3,False,False,10
,52,25375,0.04%,0.0845562502573272,1.40729841,,"1,407.30",1:18:00,15470,9905,-21.05645,2,4,True,True,4,4,False,False,10
,53,28120,0.02%,0.07917471076601855,0.88127598,,881.28,0:50:00,15529,12591,-18.22921,2,4,True,True,4,2,False,True,10
,54,31339,0.02%,0.08398439216396482,0.83012459,,830.12,0:48:00,17162,14177,-18.01292,2,4,True,False,4,3,False,False,10
,55,29706,0.02%,0.08728274776184822,0.91460632,,914.61,0:45:00,15529,14177,-19.80857,2,4,True,True,4,3,False,True,10
,56,25654,0.03%,0.08950395723641708,0.88808617,,888.09,0:43:00,11477,14177,-19.51942,3,4,True,True,4,3,False,True,10
,57,21370,0.04%,0.08695664110121126,1.37552202,,"1,375.52",1:21:00,11465,9905,-20.44324,3,4,True,True,4,4,False,False,10
,58,25654,0.03%,0.08950395723641708,0.88808617,,888.09,0:43:00,11477,14177,-19.51942,3,4,True,True,4,3,False,False,10
,59,25375,0.04%,0.0845562502573272,1.40729841,,"1,407.30",1:18:00,15470,9905,-21.05645,2,4,True,True,4,4,False,True,10
,60,26949,0.03%,0.0798821216779421,1.28244124,,"1,282.44",1:20:00,17044,9905,-19.52856,2,4,True,False,4,4,False,False,10
,61,31339,0.02%,0.08398439216396482,0.83012459,,830.12,0:48:00,17162,14177,-18.01292,2,4,True,False,4,3,False,True,10
,62,21370,0.04%,0.08695664110121126,1.37552202,,"1,375.52",1:21:00,11465,9905,-20.44324,3,4,True,True,4,4,False,True,10
,63,29754,0.02%,0.07595209768850371,0.79458499,,794.58,0:53:00,17163,12591,-16.53172,2,4,True,False,4,2,False,True,10
,64,26949,0.03%,0.0798821216779421,1.28244124,,"1,282.44",1:20:00,17044,9905,-19.52856,2,4,True,False,4,4,False,True,10
,65,23425,0.04%,0.0793389259097413,1.15281414,,"1,152.81",2:12:00,10982,12443,-15.13169,2,1,True,True,4,1,True,False,10
,66,16863,0.06%,0.10874069363251615,1.56996492,,"1,569.96",2:05:00,8189,8674,-18.82137,4,3,True,True,4,1,True,False,10
,67,20463,0.04%,0.10309383006491836,1.23026089,,"1,230.26",1:59:00,11790,8673,-15.84177,2,3,True,True,4,1,True,False,10
,68,19406,0.05%,0.11995162163054224,1.21608693,,"1,216.09",1:49:00,12151,7255,-16.01371,2,2,True,True,4,1,True,True,10
,69,16895,0.06%,0.1141133656329132,1.56013133,,"1,560.13",2:03:00,8208,8687,-18.73875,4,3,True,True,4,1,True,True,10
,70,23718,0.04%,0.08769086038658723,1.23844606,,"1,238.45",2:08:00,11140,12578,-16.31213,2,1,True,True,4,1,True,True,10
,71,19402,0.05%,0.11899718057561137,1.20363844,,"1,203.64",1:50:00,12150,7252,-15.89557,2,2,True,True,4,1,True,False,10
,72,15713,0.07%,0.12086716290956308,1.72510324,,"1,725.10",2:01:00,7024,8689,-20.30681,1,3,True,True,4,1,True,True,10
,73,14279,0.07%,0.14691352233724875,1.68609554,,"1,686.10",1:52:00,7023,7256,-20.29963,1,2,True,True,4,1,True,True,10
,74,15695,0.07%,0.11587076586459001,1.74053317,,"1,740.53",2:03:00,7019,8676,-20.44150,1,3,True,True,4,1,True,False,10
,75,19725,0.06%,0.0860414962766038,1.72285043,,"1,722.85",2:13:00,7021,12704,-20.49005,1,1,True,True,4,1,True,True,10
,76,17041,0.07%,0.12795658264051257,1.85357922,,"1,853.58",1:59:00,7024,10017,-21.32715,1,4,True,True,4,1,True,True,10
,77,19581,0.05%,0.0749403970463294,1.65081447,,"1,650.81",2:16:00,7016,12565,-19.54242,1,1,True,True,4,1,True,False,10
,78,20539,0.04%,0.10642536408366803,1.25309302,,"1,253.09",1:57:00,11853,8686,-16.12405,2,3,True,True,4,1,True,True,10
,79,22359,0.04%,0.1048093470254153,1.15787591,,"1,157.88",1:54:00,13676,8683,-15.52560,2,3,True,False,4,1,True,True,10
,80,26026,0.04%,0.08836837566570982,1.42243068,,"1,422.43",2:08:00,12316,13710,-18.53871,2,1,True,False,4,1,True,True,10
,81,41374,0.02%,0.09892784760045564,1.31271647,,"1,312.72",1:26:00,8909,32465,-20.07967,1,4,False,True,4,1,False,False,10
,82,44184,0.02%,0.09978243333315366,1.46668152,,"1,466.68",1:32:00,11918,32266,-20.95054,3,4,False,True,4,1,False,False,10
,83,104228,-0.00%,0.0,-0.17501279,,-175.01,0:41:00,72047,32181,5.35193,2,4,False,True,4,1,False,False,10
,84,63154,0.02%,0.10289730706017344,1.34120713,,"1,341.21",1:18:00,27266,35888,-20.35684,2,4,False,True,4,3,True,False,10
,85,43126,0.02%,0.07276438013395178,1.06160643,,"1,061.61",1:21:00,10638,32488,-17.48497,4,4,False,True,4,1,False,False,10
,86,113967,-0.01%,-0.02000200020002,-0.59951136,,-599.51,0:18:00,10663,103304,28.54549,4,4,False,True,4,2,False,False,10
,87,43126,0.02%,0.07276438013395178,1.06160643,,"1,061.61",1:21:00,10638,32488,-17.48497,4,4,False,False,4,1,False,False,10
,88,19254,0.04%,0.037071113591627215,1.09719876,,"1,097.20",1:12:00,10667,8587,-18.81418,4,3,False,True,4,1,False,False,10
,89,38160,0.03%,0.09630032770718931,1.22975433,,"1,229.75",1:48:00,6146,32014,-17.23269,4,4,False,True,4,1,True,False,10
,90,39744,0.03%,0.09921135140927681,1.74904403,,"1,749.04",1:47:00,8029,31715,-22.23690,1,4,False,True,4,1,True,False,10
,91,58721,0.02%,0.11345869888630788,1.04250632,,"1,042.51",1:33:00,29435,29286,-16.62648,3,4,False,True,4,1,True,False,10
,92,19213,0.06%,0.10726790196339017,1.67369431,,"1,673.69",1:36:00,11985,7228,-22.31507,3,2,False,True,4,1,False,False,10
,93,84055,-0.00%,-0.01999800019998,-0.19706749,,-197.07,0:26:00,75471,8584,7.55269,2,3,False,True,4,1,False,False,10
,94,42710,0.02%,0.11052419562221323,0.75956152,,759.56,1:25:00,34223,8487,-13.49168,3,3,False,True,4,1,True,False,10
,95,54812,0.02%,0.10324759076265272,1.21892176,,"1,218.92",1:36:00,24688,30124,-17.90247,2,4,False,True,4,1,True,False,10
,96,83017,-0.00%,-0.01999800019998,-0.16127046,,-161.27,0:25:00,75792,7225,6.42257,2,2,False,True,4,1,False,False,10
